system:index,count,theft_risk,.geo
+421832+149679,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7876265861412,26.891876513873584]}"
+421832+149786,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78771641766961,26.91101062942533]}"
+421833+149700,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78789608072643,26.895649438066886]}"
+421834+149751,5,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78786014811507,26.904740388742177]}"
+421834+149827,7,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78807574378325,26.91823565092475]}"
+421834+149833,8,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7883901541327,26.91923021427502]}"
+421835+149654,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78825540684008,26.887384937452985]}"
+421836+149689,4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78834523836849,26.89358331291341]}"
+421837+149714,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78861473295373,26.897985057805595]}"
+421838+149629,13,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78864237342401,26.88242347303762]}"
+421838+149779,17,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78892121699184,26.90943065136679]}"
+421839+149675,10,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78888422753896,26.89079853553264]}"
+421839+149689,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78897405906737,26.893673144441824]}"
+421839+149701,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78897405906737,26.89582910112371]}"
+421839+149711,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78891417138178,26.897386180949514]}"
+421839+149817,11,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7887780630054,26.916408687632625]}"
+421841+149770,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78924355365261,26.90822585204456]}"
+421841+149817,11,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78939871720169,26.916114693539644]}"
+421842+149667,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78951304823785,26.889720557191698]}"
+421842+149818,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78951304823785,26.916849678772106]}"
+421842+149875,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78951304823785,26.92709047301107]}"
+421843+149816,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78969271129468,26.916490352658457]}"
+421843+149857,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78969271129468,26.92385653798824]}"
+421844+149642,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78987237435149,26.8852289807711]}"
+421844+149664,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78987237435149,26.889181568021225]}"
+421844+149673,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78987237435149,26.89079853553264]}"
+421845+149626,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.79005203740832,26.882354371861915]}"
+421846+149713,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.79014186893673,26.897985057805595]}"
+421846+149720,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.79023170046514,26.899242699203363]}"
+421846+149875,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.79014186893673,26.92709047301107]}"
+421847+149635,8,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.79020924258305,26.88381413419861]}"
